Method,Cost (↓),Tracking MSE (↓),Violations (↓),Compute [ms] (↓),Event Rate (↓)
Proposed,941.5506 ± 1.4994,0.7426 ± 0.0014,0.0 ± 0.0,0.33 ± 0.20,0.171 ± 0.000
B1_PeriodicMPC,377.0206 ± 3.0223,0.3328 ± 0.0027,0.0 ± 0.0,0.12 ± 0.01,0.000 ± 0.000
B2_ClassicEMPC,531.9958 ± 10.2402,0.4521 ± 0.0084,0.0 ± 0.0,0.09 ± 0.01,0.064 ± 0.001
B3_RLnoMemory,2671.2110 ± 218.6290,2.5751 ± 0.2158,0.0 ± 0.0,0.34 ± 0.02,0.000 ± 0.000
