Method,Cost (↓),Tracking MSE (↓),Violations (↓),Compute [ms] (↓),Event Rate (↓)
Proposed,417790.9577 ± 6733.7549,352.3686 ± 6.5644,0.0 ± 0.0,14.26 ± 1.76,0.413 ± 0.004
B1_PeriodicMPC,579481.1267 ± 42122.3746,508.9020 ± 42.6797,0.0 ± 0.0,3.20 ± 0.64,0.000 ± 0.000
B2_ClassicEMPC,629908.7464 ± 4142.8645,552.4448 ± 4.1214,0.0 ± 0.0,20.24 ± 3.09,0.473 ± 0.005
B3_RLnoMemory,7202028.8542 ± 294948.5885,7170.7708 ± 296.4581,0.0 ± 0.0,19.77 ± 2.00,0.000 ± 0.000
