Variant,Cost,Track Error,Violations,CPU Time [ms],Events
Proposed,417790.9577,352.3686,0.0,14.26,413
A1_NoMemory,417790.9577,352.3686,0.0,13.45,413
A2_NoLAPA,429004.7626,364.0690,0.0,12.79,414
A3_Periodic,392780.4365,328.8291,0.0,24.60,1000
A4_EventMPC,421541.7476,355.9777,0.0,14.53,500
