total_cost,tracking_error_mse,tracking_error_mae,num_violations,violation_magnitude,violations_per_step,num_events,event_rate,inter_event_times,cpu_times_per_step,cpu_time_mean,cpu_time_std,cpu_time_p95,cpu_time_total,mean_control_magnitude,max_control_magnitude,settling_time,max_overshoot,seed,episode_length,plant_name,method,scenario,plant
331344.75893796457,6543.247340875577,65.02186278279382,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,[],"[0.07697391510009766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06119418144226074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0627899169921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06746697425842285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0034770965576171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.005438041687011719,0.018274327933297568,0.06207183599472046,0.27190208435058594,88.54809573163644,100.0,50,131.92387079278893,0,50,oven,B1_PeriodicMPC,0,oven
331078.43356905447,6540.365415636665,64.81031035289608,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,1.0,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","[0.07796859741210938, 0.0627753734588623, 0.05775713920593262, 0.05736947059631348, 0.058912038803100586, 0.05633950233459473, 0.046056509017944336, 0.04699850082397461, 0.04831361770629883, 0.04662299156188965, 0.04719829559326172, 0.046729087829589844, 0.05022740364074707, 0.04948091506958008, 0.05805087089538574, 0.05011701583862305, 0.04866743087768555, 0.04658317565917969, 0.04818320274353027, 0.048692941665649414, 0.047271728515625, 0.046843767166137695, 0.04785418510437012, 0.04723834991455078, 0.04956984519958496, 0.05035519599914551, 0.049957990646362305, 0.04845690727233887, 0.04712963104248047, 0.04751467704772949, 0.0470585823059082, 0.047132015228271484, 0.046404123306274414, 0.048895835876464844, 0.05022621154785156, 0.05012798309326172, 0.06158566474914551, 0.002345561981201172, 0.0022668838500976562, 0.0022187232971191406, 0.002111673355102539, 0.00209808349609375, 0.0021953582763671875, 0.0032911300659179688, 0.0034165382385253906, 0.0021839141845703125, 0.002087831497192383, 0.0020291805267333984, 0.002222299575805664, 0.0021631717681884766]",0.03834594249725342,0.022024218012878644,0.06038253307342528,1.917297124862671,84.46496877188379,100.0,50,131.92387079278893,0,50,oven,B2_ClassicEMPC,0,oven
584247.121990607,11640.188038775423,104.96532056857437,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,[],"[1.6689300537109375e-06, 7.152557373046875e-07, 9.5367431640625e-07, 7.152557373046875e-07, 4.76837158203125e-07, 4.76837158203125e-07, 0.06467866897583008, 1.1920928955078125e-06, 7.152557373046875e-07, 7.152557373046875e-07, 7.152557373046875e-07, 4.76837158203125e-07, 7.152557373046875e-07, 4.76837158203125e-07, 4.76837158203125e-07, 7.152557373046875e-07, 7.152557373046875e-07, 4.76837158203125e-07, 4.76837158203125e-07, 0.05066108703613281, 1.430511474609375e-06, 0.04896354675292969, 1.1920928955078125e-06, 7.152557373046875e-07, 0.04992389678955078, 0.0577239990234375, 0.05470895767211914, 0.04730868339538574, 0.046056509017944336, 0.04765033721923828, 1.1920928955078125e-06, 0.04831242561340332, 0.04847455024719238, 9.5367431640625e-07, 7.152557373046875e-07, 0.050917863845825195, 0.05787253379821777, 0.05649209022521973, 1.6689300537109375e-06, 1.1920928955078125e-06, 0.05888509750366211, 0.058303117752075195, 1.430511474609375e-06, 9.5367431640625e-07, 9.5367431640625e-07, 0.0574493408203125, 0.05730915069580078, 0.05480766296386719, 0.05637502670288086, 1.1920928955078125e-06]",0.021458020210266115,0.026466186801688833,0.05810935497283935,1.0729010105133057,53.20977284952155,104.77489944580107,50,133.02308459006414,0,50,oven,B3_RLnoMemory,0,oven
