Method,Cost (↓),Tracking MSE (↓),Violations (↓),Compute [ms] (↓),Event Rate (↓)
Proposed,410.4462 ± 53.6591,3.8001 ± 0.5142,0.0 ± 0.0,0.36 ± 0.56,0.010 ± 0.000
B1_PeriodicMPC,377.2295 ± 3.4207,0.3330 ± 0.0031,0.0 ± 0.0,0.24 ± 0.03,0.000 ± 0.000
B2_ClassicEMPC,532.5825 ± 10.8979,0.4526 ± 0.0089,0.0 ± 0.0,0.18 ± 0.03,0.064 ± 0.001
B3_RLnoMemory,2640.4804 ± 198.8998,2.5450 ± 0.1964,0.0 ± 0.0,0.57 ± 0.08,0.000 ± 0.000
