Variant,Cost,Track Error,Violations,CPU Time [ms],Events
Proposed,302947.1275,5958.7932,0.0,1.40,1
A1_NoMemory,302947.1275,5958.7932,0.0,1.59,1
A4_EventMPC,301524.6111,5949.2457,0.0,22.37,25
